万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量,
600000.SH,600000,20240102,91500020,137524,25,A,S,72700,100,
600000.SH,600000,20240102,91500020,137525,39,A,B,60100,100,
600000.SH,600000,20240102,91500020,137526,107,A,S,72800,100,
600000.SH,600000,20240102,91500020,137527,121,A,B,60100,100,
600000.SH,600000,20240102,91500020,137528,157,A,B,59600,100,
600000.SH,600000,20240102,91500060,137529,233,A,B,59600,100,
600000.SH,600000,20240102,91500060,137530,234,A,B,59600,100,
600000.SH,600000,20240102,91500210,137531,385,A,B,65500,1000,
600000.SH,600000,20240102,91500210,137532,415,A,B,66300,10000,
600000.SH,600000,20240102,91500210,137533,423,A,B,60100,100,
600000.SH,600000,20240102,91500230,137534,107,D,S,72800,100,
600000.SH,600000,20240102,91500280,137535,792,A,B,59600,100,
600000.SH,600000,20240102,91500280,137536,793,A,B,59600,100,
600000.SH,600000,20240102,91500280,137537,824,A,B,59600,100,
600000.SH,600000,20240102,91500280,137538,880,A,B,59600,100,
600000.SH,600000,20240102,91500280,137539,1216,A,S,66700,3000,
600000.SH,600000,20240102,91500340,137540,1385,A,B,59600,100,
600000.SH,600000,20240102,91500340,137541,1399,A,S,67000,500,
600000.SH,600000,20240102,91500340,137542,1400,A,S,67500,500,
600000.SH,600000,20240102,91500340,137543,1444,A,B,60100,100,
600000.SH,600000,20240102,91500340,137544,1450,A,B,59600,100,
600000.SH,600000,20240102,91500340,137545,1451,A,B,59600,100,
600000.SH,600000,20240102,91500340,137546,1450,D,B,59600,100,
600000.SH,600000,20240102,91500340,137547,1451,D,B,59600,100,
600000.SH,600000,20240102,91500340,137548,1459,A,S,66900,1000,
600000.SH,600000,20240102,91500380,137549,1633,A,S,72800,100,
600000.SH,600000,20240102,91500430,137550,1762,A,S,68000,1500,
600000.SH,600000,20240102,91500480,137551,2381,A,S,66900,3000,
600000.SH,600000,20240102,91500480,137552,2547,A,B,59600,100,
600000.SH,600000,20240102,91500480,137553,2571,A,B,66300,200,
600000.SH,600000,20240102,91500500,137554,2813,A,B,65100,300,
600000.SH,600000,20240102,91500540,137555,3005,A,S,66300,4900,
600000.SH,600000,20240102,91500540,137556,3010,A,S,66300,4800,
600000.SH,600000,20240102,91500540,137557,3014,A,S,66300,5200,
600000.SH,600000,20240102,91500540,137558,3019,A,S,66300,6200,
600000.SH,600000,20240102,91500540,137559,3020,A,S,66300,5200,
600000.SH,600000,20240102,91500540,137560,3025,A,S,66300,5900,
600000.SH,600000,20240102,91501030,137561,3282,A,S,69000,3000,
600000.SH,600000,20240102,91501060,137562,3406,A,S,67000,20000,
600000.SH,600000,20240102,91501060,137563,3486,A,S,66300,200,
600000.SH,600000,20240102,91501060,137564,3516,A,B,65300,2500,
600000.SH,600000,20240102,91501060,137565,3616,A,S,68600,500,
600000.SH,600000,20240102,91501080,137566,3669,A,S,70000,500,
600000.SH,600000,20240102,91501080,137567,3781,A,B,65600,500,
600000.SH,600000,20240102,91501110,137568,4091,A,B,66100,3000,
600000.SH,600000,20240102,91501240,137569,4502,A,S,69600,2000,
600000.SH,600000,20240102,91501240,137570,4747,A,B,66200,3000,
600000.SH,600000,20240102,91501240,137571,4772,A,S,68800,3000,
600000.SH,600000,20240102,91501240,137572,4855,A,B,65300,1500,
600000.SH,600000,20240102,91501240,137573,4896,A,B,65500,3000,
600000.SH,600000,20240102,91501290,137574,5469,A,S,71000,2200,
600000.SH,600000,20240102,91501290,137575,5923,A,B,65000,1000,
600000.SH,600000,20240102,91501340,137576,6043,A,S,67500,1500,
600000.SH,600000,20240102,91501340,137577,6415,A,B,65100,2000,
600000.SH,600000,20240102,91501340,137578,6433,A,B,65200,2000,
600000.SH,600000,20240102,91501340,137579,6453,A,B,65300,2000,
600000.SH,600000,20240102,91501340,137580,6454,A,B,65400,2000,
600000.SH,600000,20240102,91501340,137581,6475,A,B,65500,2000,
600000.SH,600000,20240102,91501340,137582,6476,A,B,65600,2000,
600000.SH,600000,20240102,91501340,137583,6508,A,B,65700,2000,
600000.SH,600000,20240102,91501340,137584,6524,A,B,65800,2000,
600000.SH,600000,20240102,91501340,137585,6547,A,B,65900,2000,
600000.SH,600000,20240102,91501340,137586,6558,A,B,66000,2000,
600000.SH,600000,20240102,91501340,137587,6579,A,S,66400,2000,
600000.SH,600000,20240102,91501340,137588,6593,A,S,66600,2000,
600000.SH,600000,20240102,91501340,137589,6603,A,S,66800,2000,
600000.SH,600000,20240102,91501340,137590,6615,A,S,67000,2000,
600000.SH,600000,20240102,91501340,137591,6630,A,S,67200,2000,
